Game,Artists
Advance Wars: Days of Ruin,Ryo Hirata (character designs)
Advance Wars: Dual Strike,Ryo Hirata (character designs)
Advance Wars 2: Black Hole Rising,"Ryo Hirata (character design), Kiyomi Itani (artwork)"
Aedis Eclipse: Generation of Chaos,???
Afro Samurai,"Duke Mighten, Josh Tiefer, Paul Sullivan, Juhan Lee, Khari Evans, Eun Hwan Kim, Daeyong Oh, Kyoon Lee"
Aion,"Lee Jeong Heon, Ryuhun Yong, Juno Jeong, Donfoo, Hyung jun Kim, Danny Shinwoong Kang, Kevin Chen, Young-sang Kim, Ji Bae Park, pencil 1203"
Akai Katana,Tachikawa Mushimaro
Akiba's Beat,UCMM
The Alchemist Code,Rinzo
Alice: Madness Returns,"Ken Wong, Hong Lei, Jin Lei, Sun Guoliang, Luis Melo, Tyler Lockett, Nako, Wang Shenghua, Yuan Shaofeng, Fellipe Martins, Wu Yuehan, Pu Jinsong, Ben Kerslake"
All Points Bulletin,"Arnold Tsang, Jon Stockwell, Andrew Hou, Jade Law, Martyn Driscoll, Tom Stockwell, Zoli Crayon, Jack Oakman"
Alone in the Dark,Pascal Casolari (environments)
Americana Dawn,Juri Hayasaka Chinchilla
Anarchy Reigns,Masaki Yamanaka
Animal Crossing: City Folk,???
Animal Crossing: New Leaf,???
Another Eden: The Cat Beyond Time and Space,"Takahito Exa, Shinwoo Chei, Chika Ueda, Yuka Sato"
Anthem,"Alex Figini, Patrik Karlsson, Ken Fairclough"
Apex Legends,"Jung Park, Cliff Childs, Danny Gardner, Kejun Wang, Liam MacDonald, Prog Wang, Tu Bui, Brad Allen, Autumn Rain Turkel, Hethe Srodawa"
A Plague Tale: Innocence,"Damien Papet, Olivier Ponsonnet"
Apollo Justice: Ace Attorney,"Tatsurou Iwamoto, Kazuya Nuri"
AquaNox 2: Revelation,Randis Albion
Arcana Heart 3,Eriko Kawada (Arcana designs)
Arc Rise Fantasia,"Ken'ichi Yoshida (character designs), Katsumi Aizaki"
Arc the Lad: End of Darkness,Ryuichi Kunisue (character designs)
Arc the Lad: Twilight of the Spirits,Ryuichi Kunisue (character designs)
Arena of Valor,Zezhou Chen
Ark Sphere,"Etama Quomo, Soo Min Jeong"
Armed Fantasia,"Tomomi Sasaki (character designer), As' Maria (ARM designer)"
Armored Core 4,???
Armored Core V,???
Ar nosurge: Ode to an Unborn Star,"ntny (characters), Takayama Toshiaki, John Hathway, Nagiryo, Demizu Posuka, Yoshiku, Yocky, Yoshi Mata"
Ar tonelico: Melody of Elemia,S.E.C / Nagi (character designs)
Ar tonelico II: Melody of Metafalica,S.E.C / Nagi (character designs)
Ar tonelico Qoga: Knell of Ar Ciel,S.E.C / Nagi (character designs)
ASH: Archaic Sealed Heat,Hideo Minaba (character designs)
